org.eclipse.wb.swt.SWTResourceManager	public static org.eclipse.swt.graphics.Font getFont(java.lang.String, int, int, boolean, boolean) 	logFontClass	B3	0/7
org.eclipse.wb.swt.SWTResourceManager	public static org.eclipse.swt.graphics.Font getFont(java.lang.String, int, int, boolean, boolean) 	logFontClass	B4	0/4
gui.SecondaryGUI	private void addElements() 	fd_fileNametext	B1	0/5
gui.SaveHistoryGUI	private void writeHistory() 	bw	B4	0/5
excel.ExcelManip	public ArrayList<classes.HasCodeSmell> toComparables(int) throws java.io.IOException	workbook	B1	0/3
excel.ExcelManip	public void createExcel(ArrayList<classes.MethodMetrics>, java.lang.String) throws java.io.IOException	create	B1	0/3
extraction.ExtractMetrics	private void createMetricsAndAdd(java.lang.String) 	metricToAdd	B1	0/3
classes.FillTable	private void searchAndSetQuality(ArrayList<classes.HasCodeSmell>, classes.HasCodeSmell) 	indicator	B2	0/3
classes.FillTable	private void searchAndSetQuality(ArrayList<classes.HasCodeSmell>, classes.HasCodeSmell) 	indicator	B3	0/2
gui.mainGUI	private void writeStatistics() 	dirEx	B3	0/3
classes.NameByFile	public java.lang.String getPackageName() 	src	B7	0/2
detection.CodeSmellsDetector	private classes.MethodMetrics verifyLastClass(classes.MethodMetrics) 	readyToShow	B1	1/5
detection.CodeSmellsDetector	private classes.MethodMetrics verifyLastClass(classes.MethodMetrics) 	readyToShow	B2	0/4
gui.mainGUI	private void writeStatistics() 	evaluateAndDetect	B2	1/4
gui.mainGUI	private void writeStatistics() 	evaluateAndDetect	B3	0/3
gui.mainGUI	private void checkExistanceAndAdd(boolean) 	list	B1	1/2
gui.mainGUI	private boolean createRuleAndVerify(boolean) 	rule	B1	2/4
gui.mainGUI	private void extractAndAddFileToList() throws java.io.IOException	mapStats	B2	3/6
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B1	7/10
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B2	7/9
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B3	6/8
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B4	5/7
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B5	4/6
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B6	3/5
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B8	2/4
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B10	1/3
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truenegative	B12	0/2
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B1	5/7
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B2	5/6
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B3	4/5
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B4	3/4
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B5	2/3
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	truepositive	B6	1/2
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B1	6/8
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B2	6/7
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B3	5/6
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B4	4/5
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B5	3/4
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B6	2/3
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsepositive	B8	1/2
excel.ExcelManip	private classes.HasCodeSmell readExcelRow(int, org.apache.poi.ss.usermodel.Row) 	method	B1	3/4
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B1	7/9
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B2	7/8
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B3	6/7
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B4	5/6
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B5	4/5
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B6	3/4
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B8	2/3
classes.ChartToShow	public HashMap<java.lang.String,java.lang.Integer> setResults(ArrayList<classes.HasCodeSmell>) 	falsenegative	B10	1/2
